backbone,ablation,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,mean_cost_usd,escalation_rate
deepseek-chat,full,100,0.82,0.16,0.13,0.0,0.54,0.63,0.38,22.7116,0.1762,0.37
gemma4-local,full,100,0.96,0.26,0.21,0.0,0.51,0.72,0.4433,65.925,0.0,0.28
