backbone,ablation,process_id,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,escalation_rate
qwen-local,full,P1,20,1.0,0.1,0.05,0.0,0.85,1.0,0.5,51.034,0.0
qwen-local,full,P2,20,0.9,0.15,0.4,0.0,0.55,0.5,0.4167,59.494,0.5
qwen-local,full,P3,20,0.9,0.3,0.15,0.0,0.55,0.55,0.4083,62.716,0.45
qwen-local,full,P4,20,0.9,0.15,0.25,0.0,0.15,0.9,0.3917,78.0165,0.1
qwen-local,full,P5,20,0.8,0.45,0.05,0.0,0.25,0.65,0.3667,74.34,0.35
