backbone,ablation,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,mean_cost_usd,escalation_rate
gemma4-local,no_execution,100,0.95,0.28,0.23,0.0,0.56,0.98,0.5,65.1929,0.0,0.02
gemma4-local,no_knowledge,100,0.92,0.26,0.08,0.0,0.39,0.81,0.41,25.9331,0.0,0.19
